,word,count,cum_freq,cum_perc,percentile,length,volume
363,campaign,9284,19167217,61.773255561,70,8,>1K
364,car,9274,19176491,61.8031443639,70,3,>1K
365,feel,9195,19185686,61.832778561,70,4,>1K
366,companies,9148,19194834,61.8622612836,70,9,>1K
367,recent,9117,19203951,61.8916440975,70,6,>1K
368,general,9080,19213031,61.9209076656,70,7,>1K
369,real,9064,19222095,61.950119668,70,4,>1K
370,often,9054,19231149,61.9792994418,70,5,>1K
371,budget,9037,19240186,62.0084244269,70,6,>1K
372,wanted,9019,19249205,62.0374914006,70,6,>1K
373,sure,9016,19258221,62.0665487057,70,4,>1K
374,side,9014,19267235,62.0955995651,70,4,>1K
375,jobs,9011,19276246,62.1246407559,70,4,>1K
376,change,9010,19285256,62.1536787238,70,6,>1K
377,move,9008,19294264,62.182710246,70,4,>1K
378,com,8996,19303260,62.2117030939,70,3,>1K
379,become,8959,19312219,62.240576696,70,6,>1K
380,must,8909,19321128,62.2692891551,70,4,>1K
381,power,8880,19330008,62.2979081512,70,5,>1K
382,per,8859,19338867,62.3264594673,70,3,>1K
383,cost,8845,19347712,62.3549656633,70,4,>1K
384,together,8817,19356529,62.3833816193,70,8,>1K
385,expected,8817,19365346,62.4117975753,70,8,>1K
386,major,8808,19374154,62.4401845255,70,5,>1K
387,final,8801,19382955,62.4685489157,70,5,>1K
388,council,8760,19391715,62.4967811686,70,7,>1K
389,hours,8752,19400467,62.5249876387,70,5,>1K
390,looking,8741,19409208,62.5531586573,70,7,>1K
391,attorney,8733,19417941,62.5813038931,70,8,>1K
392,party,8697,19426638,62.6093331058,70,5,>1K
393,however,8689,19435327,62.6373365357,70,7,>1K
394,wasn,8682,19444009,62.6653174056,70,4,>1K
395,project,8675,19452684,62.6932757155,70,7,>1K
396,portland,8668,19461352,62.7212114653,70,8,>1K
397,kind,8665,19470017,62.7491375466,70,4,>1K
398,added,8664,19478681,62.777060405,70,5,>1K
399,shot,8636,19487317,62.8048930233,70,4,>1K
400,california,8626,19495943,62.832693413,70,10,>1K
401,kids,8616,19504559,62.8604615741,70,4,>1K
402,full,8611,19513170,62.888213621,70,4,>1K
403,services,8592,19521762,62.9159044334,70,8,>1K
404,playing,8558,19530320,62.9434856687,70,7,>1K
405,close,8532,19538852,62.9709831096,70,5,>1K
406,behind,8493,19547345,62.9983548589,70,6,>1K
407,having,8488,19555833,63.025710494,70,6,>1K
408,near,8454,19564287,63.0529565518,70,4,>1K
409,chief,8408,19572695,63.080054358,70,5,>1K
410,music,8384,19581079,63.1070748157,70,5,>1K
411,thought,8379,19589458,63.134079159,70,7,>1K
412,league,8365,19597823,63.1610383823,70,6,>1K
413,sales,8363,19606186,63.1879911598,70,5,>1K
414,story,8339,19614525,63.2148665887,70,5,>1K
415,coming,8336,19622861,63.2417323491,70,6,>1K
416,weeks,8312,19631173,63.2685207608,70,5,>1K
417,history,8304,19639477,63.2952833896,70,7,>1K
418,political,8302,19647779,63.3220395727,70,9,>1K
419,medical,8301,19656080,63.348792533,70,7,>1K
420,men,8301,19664381,63.3755454932,70,3,>1K
421,player,8282,19672663,63.4022372191,70,6,>1K
422,makes,8263,19680926,63.4288677107,70,5,>1K
423,fire,8228,19689154,63.4553854022,70,4,>1K
424,cut,8214,19697368,63.4818579736,70,3,>1K
425,across,8199,19705567,63.5082822021,70,6,>1K
426,plans,8162,19713729,63.5345871848,70,5,>1K
427,seven,8155,19721884,63.5608696075,70,5,>1K
428,large,8152,19730036,63.5871423617,70,5,>1K
429,executive,8096,19738132,63.6132346356,70,9,>1K
430,began,8089,19746221,63.6393043496,70,5,>1K
431,education,8073,19754294,63.6653224977,70,9,>1K
432,running,8068,19762362,63.6913245316,70,7,>1K
433,include,8066,19770428,63.7173201198,70,7,>1K
434,career,8027,19778455,63.7431900164,70,6,>1K
435,republican,8025,19786480,63.7690534673,70,10,>1K
436,taking,8017,19794497,63.7948911353,70,6,>1K
437,held,7956,19802453,63.8205322089,70,4,>1K
438,ever,7928,19810381,63.8460830424,70,4,>1K
439,name,7903,19818284,63.8715533044,70,4,>1K
440,outside,7899,19826183,63.897010675,70,7,>1K
441,mr,7868,19834051,63.9223681368,70,2,>1K
442,decision,7843,19841894,63.9476450272,70,8,>1K
443,financial,7838,19849732,63.9729058033,70,9,>1K
444,led,7832,19857564,63.9981472423,70,3,>1K
445,event,7813,19865377,64.0233274469,70,5,>1K
446,likely,7787,19873164,64.0484238571,70,6,>1K
447,morning,7738,19880902,64.0733623472,70,7,>1K
448,issue,7728,19888630,64.0982686087,70,5,>1K
449,teams,7704,19896334,64.1230975216,70,5,>1K
450,important,7671,19904005,64.1478200801,70,9,>1K
451,isn,7658,19911663,64.1725007414,70,3,>1K
452,saying,7633,19919296,64.1971008312,70,6,>1K
453,mother,7627,19926923,64.2216815839,70,6,>1K
454,conference,7624,19934547,64.246252668,70,10,>1K
455,believe,7604,19942151,64.2707592948,70,7,>1K
456,comes,7599,19949750,64.2952498074,70,5,>1K
457,try,7597,19957347,64.3197338743,70,3,>1K
458,live,7589,19964936,64.3441921583,70,4,>1K
459,east,7575,19972511,64.3686053222,70,4,>1K
460,almost,7549,19980060,64.3929346918,70,6,>1K
461,earlier,7534,19987594,64.4172157185,70,7,>1K
